id,result,userAtt_id,confidenceLevel,clicks,time_diff,question_id
1,W,1,0,1,0,297
2,W,1,0,1,0,274
3,W,1,0,1,0,287
4,C,1,0,1,0,484
5,C,1,0,1,0,251
6,C,1,10,1,3,481
7,C,1,10,2,11,466
8,C,1,10,1,19,268
9,W,1,10,1,8,257
10,W,1,10,1,162,218
11,W,1,10,1,1,473
12,W,1,10,5,49,239
13,W,1121,10,1,55,218
14,C,1121,10,1,35,280
15,C,1121,10,3,270,418
16,W,1121,10,1,23,473
17,W,1121,10,1,14,280
18,W,1121,10,1,171,270
19,C,1121,10,1,53,427
20,W,1121,10,1,4,454
21,W,1121,10,1,10,245
22,W,1121,10,1,11,273
23,W,1121,10,1,5,222
24,C,1121,10,1,10,203
25,C,1121,10,1,8,211
26,C,1121,10,1,14,200
27,W,1121,10,1,7,236
28,C,1121,10,1,2,208
29,C,1121,10,1,2,235
30,C,1121,10,1,23,231
31,C,1121,10,1,2,227
32,W,1121,10,1,5,229
33,W,1121,10,1,8,224
34,W,1121,10,1,6,228
35,W,1121,10,1,12,222
36,W,1121,10,1,4,222
37,W,1121,10,2,9,222
38,W,1121,10,2,20,207
39,W,1121,10,2,6,204
40,W,1121,10,2,19,202
41,W,1121,10,2,6,207
42,W,1121,10,2,5,219
43,W,1121,10,2,7,229
44,W,1121,10,1,2,214
45,W,1121,10,1,3,220
46,W,1121,10,1,2,213
47,W,1121,10,1,4,206
48,W,1121,10,1,6,202
49,W,1121,10,1,3,221
50,C,1121,10,2,3,233
51,W,1121,10,1,5,217
52,W,1121,10,1,3,203
53,W,1121,10,1,36,203
54,C,1121,10,1,166,203
55,W,1121,10,1,2,208
56,C,1121,10,1,3,210
57,C,1121,10,1,2,485
58,W,1121,10,1,5,449
59,W,1121,10,5,10,449
60,W,1121,10,0,0,449
61,W,1121,10,0,0,449
62,C,1121,10,1,3,205
63,C,1121,10,2,6,208
64,W,1121,10,1,2,235
65,W,1121,10,1,1,233
66,W,1121,10,1,2,209
67,W,1121,10,2,3,221
68,W,1121,10,1,2,229
69,W,1121,10,1,2,226
70,W,1121,10,1,3,233
71,W,1121,10,1,8,236
72,W,1121,10,1,14,204
73,C,1121,10,1,3,215
74,W,1121,10,1,2,234
75,W,1121,10,1,5,208
76,W,1121,10,1,2,202
77,W,1121,10,2,3,221
78,C,1121,10,2,4,227
79,W,1121,10,2,4,229
80,C,1121,10,1,2,212
81,W,1121,10,1,2,235
82,W,1121,10,2,4,234
83,W,1121,10,1,5,214
84,W,1121,10,1,2,236
85,W,1121,10,3,13,207
86,W,1121,10,1,7,223
87,W,1121,10,1,4,236
88,W,1121,10,1,2,232
89,W,1121,10,2,8,200
90,W,1121,10,1,4,201
91,W,1121,10,1,13,200
92,C,1121,10,1,10,433
93,W,1121,10,5,17,424
94,W,1121,10,1,5,242
95,W,1121,10,1,3,448
96,W,1121,10,1,10,221
97,W,1121,10,2,5,230
98,C,1121,10,1,5,448
99,C,1121,10,1,5,448
100,W,1121,10,2,9,214
101,W,1121,10,1,2,230
102,C,1121,10,1,2,203
103,C,1121,10,1,3,217
104,W,1121,10,1,4,209
105,W,1121,10,1,4,204
106,C,1121,10,1,6,207
107,W,1121,10,1,3,230
108,W,1121,10,1,9,224
109,W,1121,10,1,7,231
110,W,1121,10,1,5,210
111,C,1121,10,3,9,209
112,C,1121,10,1,4,234
113,W,1121,10,2,10,215
114,C,1121,10,1,3,215
115,W,1121,10,1,3,204
116,W,1121,10,1,3,208
117,W,1121,10,2,6,214
118,W,1121,10,1,5,209
119,W,1121,10,1,5,217
120,W,1121,10,1,9,223
121,C,1121,10,1,6,231
122,W,1121,10,1,4,208
123,W,1121,10,1,31,207
124,W,1121,10,1,3,216
125,W,1121,10,1,5,206
126,W,1121,10,1,5,219
127,C,1121,10,1,3,213
128,C,1121,10,1,5,238
129,W,1121,10,1,2,213
130,W,1121,10,1,3,228
131,W,1121,10,2,3,205
132,W,1121,10,1,3,200
133,W,1121,10,1,2,226
134,W,1121,10,1,2,204
135,C,1121,10,1,3,218
136,W,1121,10,1,2,223
137,C,1121,10,1,6,213
138,C,1121,10,1,6,213
139,W,1121,10,1,3,226
140,W,1121,10,1,2,204
141,C,1121,10,1,3,206
142,C,1121,10,8,10,209
143,W,1121,10,2,3,219
144,W,1121,10,1,1,207
145,W,1121,10,1,2,207
146,W,1121,10,1,2,235
147,W,1121,10,1,1,222
148,C,1121,10,1,10,216
149,W,1121,10,1,2,224
150,C,1121,10,1,2,211
151,C,1121,10,1,2,221
152,C,1121,10,4,11,208
153,C,1121,10,3,7,237
154,W,1121,10,2,7,211
155,W,1121,10,1,3,201
156,W,1121,10,1,2,205
157,W,1121,10,1,2,205
158,W,1121,10,1,3,202
159,W,1121,10,1,2,209
160,C,1121,10,1,1,210
161,C,1121,10,1,2,207
162,C,1121,10,4,15,210
163,W,1121,10,1,2,211
164,C,1121,10,1,2,206
165,W,1121,10,2,5,207
166,C,1121,10,2,5,208
167,W,1121,10,4,12,207
168,C,1121,10,4,45,202
