id,text,optionA,optionB,optionC,answer,category,optionD,counter,explanation,rating,ratingChange
200,Economics deals primarily with the concept of,change.,power.,poverty.,D,ECO,scarcity.,4,Lorem,500,0
201,Scarcity exists when,the price of a good rises.,society can meet the wants of every individual.,there is less of a good or resource available than people wish to have.,C,ECO,there is less than an infinite amount of a resource or good.,2,Lorem,500,0
202,Economics is defined as the study of,how society manages its scarce resources.,business.,central planning.,A,ECO,government regulation.,0,Lorem,510,0
203,A good definition of equity would be,efficiency.,eliminating extreme affluence.,fairness.,C,ECO,everyone receiving the same income.,0,Lorem,510,0
204,When government policies are being designed ,increasing efficiency usually results in more equity.,there is usually a tradeoff between equity and efficiency.,equity can usually be achieved without an efficiency loss.,B,ECO,equity and efficiency goals are usually independent of each other.,1,Lorem,490,0
205,The opportunity cost of an item is,what you give up to get that item.,always equal to the dollar value of the item.,always less than the dollar value of the item.,A,ECO,the number of hours needed to earn the money to buy it.,1,Lorem,490,0
206,Ryan spends an hour studying instead of going for a bike ride. The opportunity cost to him of studying is,the improvement in his grades from studying for the hour.,the enjoyment and exercise he would have received had he gone for a bike ride.,the difference between the improvement in his grades from studying minus the enjoyment of a bike ride.,B,ECO,zero. Since Ryan chose to study rather than to ride his bike  the value of studying must have been greater than the value of the bike ride.,0,Lorem,510,0
207,A rational decision maker takes an action only if the,marginal benefit is greater than the marginal cost.,average benefit is greater than the average cost.,marginal benefit is less than the marginal cost.,A,ECO,marginal benefit is greater than both the average cost and the marginal cost.,0,Lorem,480,0
208,A marginal change is a,long-term trend.,change for the worse.,small incremental adjustment.,C,ECO,large  significant adjustment.,3,Lorem,490,0
209,Economists understand that people respond to,the wishes of policymakers.,tax breaks  but not tax hikes.,threats more than rewards.,D,ECO,incentives.,1,Lorem,510,0
210,Which is the most accurate statement about trade?,Trade can make every nation better off.,Trade makes some nations better off and others worse off.,Trade helps rich nations and hurts poor nations.,A,ECO,Trading for a good can make a nation better off only if the nation cannot produce that good.,4,Lorem,500,0
211,If Canada is better than the United States at producing hockey sticks  but the United States is better than Canada at producing roller blades  the United States should,put a quota on the amount of Canadian hockey sticks imported.,subsidize its hockey stick industry so that it can compete with Canadian hockey sticks.,sell roller blades to Canada  and buy Canadian hockey sticks.,C,ECO,impose a tariff on Canadian hockey sticks in order to protect jobs in the U.S. roller blade industry.,4,Lorem,500,0
212,In a market economy  economic activity is guided by,the government.,corporations.,central planners.,D,ECO,prices.,1,Lorem,500,0
213,One advantage market economies have over central planning is that market economies,solve the problem of scarcity.,are more efficient.,establish government economic control.,B,ECO,provide an equal distribution of goods and services to consumers.,0,Lorem,510,0
